"id_room","title","source_id","dating_original","dating_start","dating_end","room_functions","iconclasses","iconclassses_level_0","iconclassses_level_1"
"350","Einstiger Ordenssaal","011d6f41-e5ea-4ca7-8b90-f4d95c13ec45","1712-1715","1712","1715","HALLS","26A,96C(AENEAS)3,96C(AENEAS)69","2,9,9","26,96,96"
"353","Hauptsaal","892f27fc-d0d6-4bd2-8c08-397f7f3444b2","1706-1718","1706","1718",,"92B1219,92C49151,95A(CADMUS)32,97EE1","9,9,9,9","92,92,95,97"
"356","Kabinett des Fürsten","47b4539e-39a1-47a6-b464-701002cae792","1747","1747","1747",,,,
"359","Der hofseitige Flur im Ostflügel und das so genannte Kabinett der Weisen","8a64070c-496f-47e9-ac96-87cb9cd47d6d",,,,,,,
"362","Nördliches Parterre","e20fe9ee-367c-41b6-a94c-a8611a1c9e3b",,,,,"11MM3,25H23,46B21,46B22,46B4,46B4941,46C21(+33),54F12,57A6","1,2,4,4,4,4,4,4,5,5","11,25,46,46,46,46,46,46,54,57"
"365","Akademiesaal","10b9f847-28f4-4e51-8d0c-8c22125c53ba","1786-1787","1786","1787","HALLS","48C753,93A,93A1","4,9,9","48,93,93"
"368","Das sog. Kronprinzenempfangszimmer (Weißer Empiresalon)","c1a4d23b-1719-41aa-bc3b-9689a78ca846","1710-29","1710","1729","PRESENCE_CHAMBERS","95B(NIOBE)62","9","95"
"371","Vorzimmer","6fe5a4b5-be5f-46b6-a9e4-771b72956e68","1685/1690","1685","1690","ANTEROOMS",,,
"374","Kurfürstenzimmer","09c9712d-1d62-4f45-a7d7-7c93ae65f2c7",,,,,"26C,92C152","2,9","26,92"
"377","Gardesaal (Gardereitersaal)","23e3c550-15e9-4ce9-887d-88630f1ede07","ab 1761",,,"GUARD_HALLS",,,
"380","Das Treppenhaus und Vestibül","e2b77e9a-d08a-4483-bedc-7b5167c74105","1737-1747","1737","1747","STAIRWELLS,VESTIBULES","43C111241,43C11311,92C3,92C378,92D1916","4,4,4,4,9,9,9,9,9,9","43,43,43,43,92,92,92,92,92,92"
"383","Das Innere der Abteikirche","5b602a2c-8276-4f92-be5e-68696ef6686d","1070-1129, 1672-1674, 1863-1882, 1938-1940","1070","1674","ROYAL_CHAPELS_ROOMS",,,
"386","Das Württembergische Nebenzimmer","691a6f21-8d59-4ac1-9ba9-78830f767fdb",,,,,,,
"392","Das Audienzzimmer","8a41e921-ec56-42b4-a041-8d6bd03a4f65",,,,"PRESENCE_CHAMBERS",,,
"395","Schlosskapelle","5ec6ec91-a361-4a6f-8c1f-f8953cf20273",,,,,"73E5","7","73"
"398","Saal","663050bc-83bb-4f2d-a317-89f76a1823de",,,,"HALLS","23R1,41B32,43A433,48C7352,92C3711,92C38(Dog),92C38(Stag),92C392,92D1,92D1916,92L41","2,4,4,4,9,9,9,9,9,9,9","23,41,43,48,92,92,92,92,92,92,92"
"401","Festsaal","920e3b48-f0b8-43ca-a2f8-9be1bed5008f","Entwurf und Ausführung 1747–1751",,,"HALLS","25D11,31A5331,31A5341,41D222,41D222(JABOT),41D26(SASH),41D2651,41D2652,41D26611,41D2663,41D2665,41D2666,44B197,44B198,44BB197,45C22,46A1241,46A1241(ORDER OF THE ELEPHANT)1,47H6(BROCADE),47H6(SILK),48A98211,48A98312,61B2(FRIEDRICH - DUKE OF MECKLENBURG-SCHWERIN)11(+522),61B2(KARL LEOPOLD - DUKE OF MECKLENBURG-SCHWERIN)11(+522),61B2(LUDWIG - DUKE OF MECKLENBURG-SCHWERIN)11(+522),61BB2(KATHARINA - DUCHESS OF MECKLENBURG-SCHWERIN)11(+522),61BB2(SOPHIE LUISE - QUEEN OF PRUSSIA)11(+522)","2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6","25,25,25,25,25,25,25,31,31,31,31,31,31,31,31,31,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,46,46,47,47,47,47,48,48,61,61,61,61,61"
"404","Marmorsaletta","d23ec756-a062-4434-a166-adaeba72cd6f","1715-1716","1715","1716",,"23D44,43A13,43C11,43C11482,48C30,48C73,48C7352,92L17","2,4,4,4,4,4,4,9","23,43,43,43,48,48,48,92"
"410","Treppenhaus","2942ddf0-c7ef-11e9-99f3-c9e55f39fadd","1758-61","1758","1761","STAIRWELLS",,,
"413","Das ehemalige kleine quadratische Zimmer","aae938d7-3935-41a9-8cb4-1f85c637964f","ca. 1740/50",,,,"96A23","9","96"
"416","Spiegelzimmer","062fa3b1-33f8-45aa-8540-9f4bfdf001db",,,,"ANTEROOMS","92D1916","9","92"
"419","Das Schlafzimmer des Gastgemachs","b1b29cd9-1410-4d08-96a5-26602ea80cc8","1737-1747","1737","1747",,"11H(EUSTACE)34,31B1,43C11311,92C371","1,3,4,9","11,31,43,92"
"422","Vorzimmer des Kurfürsten","6ef66469-a96d-4b30-b9af-ec4aa284526a",,,,,"44B191,91B111,96A5","4,9,9","44,91,96"
"425","Der ehemalige Speisesaal","fdbee312-eb93-4faf-a85d-26b531f791f6","1610-1615","1610","1615","BANQUET_HALLS","11M31,11M44","1,1","11,11"
"428","Korridor","6f57fec9-81e2-4d87-b31e-e9fbc26be31b",,,,"CORRIDORS","92B3,92B53,92C4","9,9,9","92,92,92"
"431","Das Naturalienkabinett (990)","995f4022-6376-4fa7-ac6c-2f5ee5a73f0a","wohl um 1708","1708","1708","CABINETS_OF_CURIOSITIES_ROOMS",,,
"437","Vorzimmer","d35024f1-6e3e-43d9-ac73-6490d474dfef",,,,"ANTEROOMS","48C149","4","48"
"440","Das Schlafzimmer (Garteneckzimmer)","187fba9b-9ca6-4973-af32-f98784cbb4d7","1715-19","1715","1719","BEDROOMS","25I12,46C223,61E(VALLETTA),92B1222","2,4,6,9","25,46,61,92"
"443","Vestibül der Herrschaftsloge","cabe0660-c5be-11e9-bae7-59743fb301a8",,,,"VESTIBULES","71E134","7","71"
